Identifiant,Nom spectacle,Nom spectacle + [identifiant],URL,Lien image,Heure début,Heure fin,Durée,Lieu,Salle,Type Public,Jour relâche,Type,04/07/2025,05/07/2025,06/07/2025,07/07/2025,08/07/2025,09/07/2025,10/07/2025,11/07/2025,12/07/2025,13/07/2025,14/07/2025,15/07/2025,16/07/2025,17/07/2025,18/07/2025,19/07/2025,20/07/2025,21/07/2025,22/07/2025,23/07/2025,24/07/2025,25/07/2025,26/07/2025,Compagnie_website,Compagnie_instagram,Compagnie_facebook,Tarif_plein,Tarif_abonne,Tarif_enfant,Tarif_reduit,Entree_libre
6343,Jeune fille cherche maison douce où pratiquer son piano,Jeune fille cherche maison douce où pratiquer son piano [6343],http://www.festivaloffavignon.com/spectacles/6343-jeune-fille-cherche-maison-douce-o-pratiquer-son-piano,https://www.festivaloffavignon.com/data/spectacles/6343-nWb9Ky1e4OUe9P6zWtzh-catalogue.jpg,14:45:00,16:00:00,1:15:00,LUNA (LA) / LUNA THÉÂTRES,Salle 2,Tout public à partir de 10 ans,Mercredi,Théâtre musical,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.lebureauduclassique.fr,https://www.instagram.com/framboiseetcaetera?igsh=OTMwMGhqOHkxaDU1,https://www.facebook.com/share/1PmLm5hdsBxs73gE/?mibextid=LQQJ4d,19€,10€,13€,13€,
7488,"Le Mokiri, plateau d'humour","Le Mokiri, plateau d'humour [7488]",http://www.festivaloffavignon.com/spectacles/7488-le-mokiri-plateau-d-humour,https://www.festivaloffavignon.com/data/spectacles/7488-6d5xICQiEWIx5A3DYyIO-catalogue.png,22:00:00,23:00:00,1:00:00,MOKIRI AVIGNON (LE),Le Mokiri Avignon,Tout public à partir de 12 ans,,Stand-up,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,https://www.instagram.com/le_mokiri/,https://www.facebook.com/lemokiri/,14€,10€,,,
7021,Rien sans Mâle,Rien sans Mâle [7021],http://www.festivaloffavignon.com/spectacles/7021-rien-sans-mle,https://www.festivaloffavignon.com/data/spectacles/7021-WNyijSFue8HAIrt56CLf-catalogue.jpg,19:00:00,20:10:00,1:10:00,ALBATROS (THÉÂTRE),Salle Magasin,Tout public à partir de 12 ans,,Clown,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,https://www.onverrademain.fr/festival-off-d-avignon-2025,https://www.instagram.com/compagnie.obrigado/,https://www.facebook.com/search/top?q=cie%20obrigado&locale=fr_FR,20€,12€,12€,14€,
5546,Comme on brûle encore,Comme on brûle encore [5546],http://www.festivaloffavignon.com/spectacles/5546-comme-on-brle-encore,https://www.festivaloffavignon.com/data/spectacles/5546-bcFf5PinInhJM73o82AE-catalogue.jpeg,18:45:00,20:10:00,1:25:00,GRAND PAVOIS (THÉÂTRE LE),Théâtre Le Grand Pavois,Tout public à partir de 14 ans,Mardi,Pluridisciplinaire,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://www.commeonbruleencore.com,,https://www.facebook.com/commeonbruleencore/,20€,14€,,14€,
6442,Mère,Mère [6442],http://www.festivaloffavignon.com/spectacles/6442-mre,https://www.festivaloffavignon.com/data/spectacles/6442-G8XFZV0i4FS4PzVkDrmI-catalogue.jpg,13:20:00,14:40:00,1:20:00,SCIERIE (LA),Le Studio,Tout public à partir de 11 ans,,Théâtre contemporain,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,https://cielatronconneuse.wixsite.com/latronconneuse,https://www.instagram.com/la.tronconneuse/,https://www.facebook.com/people/La-Tron%C3%A7onneuse/61559752019622/?locale=fr_FR,17€,12€,6€,12€,
7455,L'Effet Barnum,L'Effet Barnum [7455],http://www.festivaloffavignon.com/spectacles/7455-l-effet-barnum,https://www.festivaloffavignon.com/data/spectacles/7455-k43VMosnYXLDQE0X7SUc-catalogue.jpg,13:15:00,14:15:00,1:00:00,ALBATROS (THÉÂTRE),Salle Alibi,Tout public à partir de 12 ans,Mardi,Théâtre,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,https://ciepiecesetmaindoeuvre.com/,https://www.instagram.com/ciepiecesetmaindoeuvre/,https://www.facebook.com/profile.php?id=100048135643241,18€,"12,5€",,12€,
6349,La Salida,La Salida [6349],http://www.festivaloffavignon.com/spectacles/6349-la-salida,https://www.festivaloffavignon.com/data/spectacles/6349-4sJm1G30zcfZLd1cUib0-catalogue.jpeg,16:00:00,17:10:00,1:10:00,GOLOVINE (THÉÂTRE),GOLOVINE (THÉÂTRE),Tout public à partir de 6 ans,Lundi,Danse,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,,,,22€,15€,12€,,
7296,Not Koko's Notes,Not Koko's Notes [7296],http://www.festivaloffavignon.com/spectacles/7296-not-koko-s-notes,https://www.festivaloffavignon.com/data/spectacles/7296-6lMKsA49qfxt13332HXg-catalogue.png,11:00:00,12:15:00,1:15:00,ISLE 80,ISLE 80,Tout public à partir de 8 ans,Mardi,Pluridisciplinaire,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,https://www.theatredelaruche.fr,,,15€,7€,7€,,
5616,Variations pour un Parapluie,Variations pour un Parapluie [5616],http://www.festivaloffavignon.com/spectacles/5616-variations-pour-un-parapluie,https://www.festivaloffavignon.com/data/spectacles/5616-l84ETUVmiHGoy8TYFXjy-catalogue.jpg,17:45:00,18:20:00,0:35:00,"ALYA, L'ESPACE",Salle B,Jeune public à partir de 2 ans,Mercredi,Théâtre d'objet,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.chouetteilpleut.com/,https://www.instagram.com/ciechouetteilpleut/,https://www.facebook.com/CieChouetteilpleut,14€,7€,7€,10€,
7312,Finale concours d'humour Festival St Sulpice de Rire,Finale concours d'humour Festival St Sulpice de Rire [7312],http://www.festivaloffavignon.com/spectacles/7312-finale-concours-d-humour-festival-st-sulpice-de-rire,https://www.festivaloffavignon.com/data/spectacles/7312-QJF3bO6CUGjquzEnCbrn-catalogue.jpg,20:30:00,22:00:00,1:30:00,COLLÈGE DE LA SALLE (THÉÂTRE DU),Salle 80,Tout public à partir de 16 ans,,Scène ouverte,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,https://www.stsulpicederire.fr,,https://www.facebook.com/stsulpicederire,16€,8€,8€,,
